Chromosome,Coordinate,p_value
chr01,2708,0.8233474459298218
chr01,3990,0.7031939004612353
chr01,4129,0.7232246099196966
chr01,4317,0.8235752761793484
chr01,4348,0.7761661571462474
chr01,4600,0.6375698533022938
chr01,4642,0.6640646173362754
chr01,5302,0.7093033739237568
chr01,5954,0.7153402979173265
chr01,6288,0.7125012165279556
chr01,6781,0.7153402979173265
chr01,7393,0.7212869650092402
chr01,7732,0.7629229683567036
chr01,8067,0.6953190591704324
chr01,8228,0.8157730898396034
chr01,8341,0.735344213034783
chr01,8655,0.7125012165279556
chr01,8940,0.735344213034783
chr01,10060,0.7125012165279556
chr01,10132,0.7125012165279556
chr01,10962,0.7125012165279556
chr01,11147,0.7629229683567036
chr01,11352,0.7125012165279556
chr01,11515,0.7153402979173265
chr01,11739,0.7125012165279556
chr01,11782,0.7125012165279556
chr01,12765,0.7125012165279556
chr01,12784,0.7125012165279556
chr01,13356,0.7662437365401861
chr01,13583,0.7125012165279556
chr01,13632,0.8062934606116043
chr01,13754,0.8070188425066562
chr01,13776,0.7606812361259111
chr01,13880,0.7292500987297541
chr01,15861,0.7318205489485069
chr01,16000,0.732718389464377
chr01,17352,0.7153402979173265
chr01,17414,0.7153402979173265
chr01,17535,0.836810308280799
chr01,18351,0.7125012165279556
chr01,19254,0.7104546511998291
chr01,19401,0.7601040212547028
chr01,19717,0.6072404469369436
chr01,21518,0.605639214676949
chr01,21720,0.6029674001891876
chr01,21770,0.6029674001891876
chr01,22038,0.6029674001891876
chr01,22102,0.6029674001891876
chr01,22827,0.605639214676949
chr01,22851,0.6029674001891876
chr01,22856,0.6029674001891876
chr01,22929,0.6029674001891876
chr01,22938,0.6029674001891876
chr01,22943,0.6029674001891876
chr01,22976,0.6029674001891876
chr01,22986,0.6029674001891876
chr01,23029,0.6029674001891876
chr01,23118,0.49696673242683576
chr01,23129,0.6029674001891876
chr01,23383,0.605639214676949
chr01,23527,0.605639214676949
chr01,23661,0.6029674001891876
chr01,23745,0.6000330169337744
chr01,24009,0.6029674001891876
chr01,24211,0.6029674001891876
chr01,24222,0.605639214676949
chr01,24335,0.605639214676949
chr01,24489,0.627043674047286
chr01,24572,0.5870280939886547
chr01,24659,0.5870280939886547
chr01,24705,0.5354550937596712
chr01,24769,0.605639214676949
chr01,25050,0.605639214676949
chr01,25070,0.605639214676949
chr01,25196,0.5870280939886547
chr01,25223,0.5533710458956485
chr01,25428,0.6468745808519338
chr01,25671,0.60913516606842
chr01,25683,0.5853333447072293
chr01,25858,0.6029674001891876
chr01,26290,0.6468745808519338
chr01,26384,0.6096760166575989
chr01,26579,0.687051993496126
chr01,26699,0.47196639478068436
chr01,26764,0.605639214676949
chr01,27048,0.6922071486600556
chr01,27511,0.6443776296437349
chr01,27550,0.6029674001891876
chr01,27795,0.605639214676949
chr01,27951,0.6911741767363928
chr01,27965,0.6939828713452072
chr01,29029,0.6272490192825111
chr01,29210,0.6029674001891876
chr01,29282,0.7033842871341651
chr01,29777,0.5688265635405265
chr01,30084,0.6029674001891876
chr01,30107,0.6139101703657417
chr01,30237,0.49377336579341835
chr01,30309,0.475752361207465
chr01,30636,0.605639214676949
chr01,30857,0.6000330169337744
chr01,31031,0.6029674001891876
chr01,31234,0.5054758532329582
chr01,31306,0.605639214676949
chr01,31608,0.6940379607611155
chr01,31866,0.7033842871341651
chr01,31961,0.6941036259594455
chr01,31975,0.6553317740828941
chr01,32054,0.6029674001891876
chr01,32113,0.5688265635405265
chr01,32142,0.605639214676949
chr01,32238,0.605639214676949
chr01,32259,0.605639214676949
chr01,32323,0.5565899875413569
chr01,32413,0.605639214676949
chr01,32454,0.605639214676949
chr01,32508,0.605639214676949
chr01,32788,0.605639214676949
chr01,32804,0.605639214676949
chr01,32954,0.6029674001891876
chr01,33030,0.605639214676949
chr01,33038,0.605639214676949
chr01,33132,0.605639214676949
chr01,33162,0.605639214676949
chr01,33382,0.605639214676949
chr01,33445,0.6029674001891876
chr01,33478,0.605639214676949
chr01,33507,0.605639214676949
chr01,33525,0.605639214676949
chr01,33532,0.6029674001891876
chr01,33546,0.605639214676949
chr01,33569,0.605639214676949
chr01,33704,0.6029674001891876
chr01,33759,0.6454167682077256
chr01,33838,0.6029674001891876
chr01,33849,0.6029674001891876
chr01,33912,0.5845136917823616
chr01,34044,0.624201932694064
chr01,34076,0.605639214676949
chr01,34208,0.605639214676949
chr01,34297,0.605639214676949
chr01,34596,0.605639214676949
chr01,34624,0.605639214676949
chr01,34629,0.605639214676949
chr01,34634,0.605639214676949
chr01,34656,0.605639214676949
chr01,34670,0.5662440706620977
chr01,34753,0.6029674001891876
chr01,34769,0.6029674001891876
chr01,34781,0.6029674001891876
chr01,34825,0.6029674001891876
chr01,34914,0.7088966130581956
chr01,34967,0.7466103885805322
chr01,34974,0.700561929326825
